Grupo_Racial,Raza_Primaria,Informacion1,,
Ocho Hileras ,Tabloncillo Perla,"Tiene las mismas características que Tabloncillo, solo que su grano es cristalino y en algunas poblaciones su número de hileras puede ser menor y presentan mazorca más delgada. Excelente para botanas de buena calidad. Se cultiva en Nayarit. Grano grande (PMG 378 g) y muy duro y con poca capacidad para absorber agua. Está adaptada a lugares más bajos y secos, y con frecuencia se cultiva en suelos delgados.",,
Maduración tardía,Tehua,"Raza con pocos representantes en los bancos, recientemente se han obtenido buenas muestras en Chiapas; mazorcas abultadas en su base, tardías, con adaptación específica a una región muy restringida del estado de Chiapas; presenta buena combinación con razas de valles intermedios como Celaya y tropicales como Tuxpeño. Las evaluaciones de características fisicoquímicas y bromatológicas de las accesiones CHIS29 y CHIS202 (altitud 660 m y 1000 m), arrojan que el grano es de tamaño regular y de dureza regular a intermedia, apropiado para elaborar atoles y botanas.",,
Dentados tropicales ,Tepecintle,"Muy parecido al Vandeño, con mazorca más corta, más delgada y con mayor precocidad, grano dentado. Se adapta a las laderas con suelos delgados. Presenta variedad de colores pero el más precoz es el blanco. Tiene buen rendimiento en masa y tortilla por el método tradicional. Una particularidad de esta raza es que tiene la punta de la mazorca descubierta. ",,
Dentados tropicales ,Tuxpeño,"Una de las razas más productivas. Domina en grandes áreas principalmente las partes bajas tropicales bajo temporal, así como en las subtropicales bajo riego; se puede ampliar más su siembra utilizando para ello grandes áreas utilizadas como potreros en la actualidad. Predomina la siembra de primavera-verano, y en áreas con disposición de riego permiten su cultivo en el ciclo otoño-invierno. Muy importante a nivel nacional y la más utilizada para mejoramiento. Ha aumentado su área de distribución, no está claro cuál es su centro de distribución y de diversidad; es muy difuso. También se ha relacionado con muchas razas, forma un continuo. En la mayor parte de sus áreas de distribución predominan formas de grano blanco, a excepción de la península de Yucatán en donde también son muy importantes las formas de color amarillo y azul-negra. Recientemente se ha colectado una gran variación de color (blanco, varias tonalidades de amarillo, variegados, jaspeados y rojos) en la región de las Huastecas (Hidalgo, Veracruz, San Luis Potosí) y en los Tuxtlas, Veracruz. ",,
Dentados tropicales ,Tuxpeño Norteño,"Adaptado a regiones subtropicales bajo condiciones de temporal, así como a regiones desérticas cálidas bajo riego. Con frecuencia hay tipos con muy buenas características agronómicas y alta capacidad de producción particularmente en formas del centro de Tamaulipas que se dispersaron a muchas otras áreas a través de los primeros maíces mejorados para esas regiones. Recientemente está siendo desplazado en gran parte por híbridos comerciales con germoplasma de otras partes del mundo. Hay variantes con buen rendimiento de tortilla (1.7 kg de tortilla/kg de maíz).",,
Cónico ,Uruapeño,"De acuerdo con datos del banco de germoplasma del CEVAMEX-INIFAP, la colecta JAL-756 procede del municipio de Atoyac, Jalisco, y se caracteriza por ser una de las más tardías entre razas del grupo Cónico, con planta de porte bajo y mazorca cónica de grano semidentado.",,
Dentados tropicales ,Vandeño,"Muy similar a Tuxpeño pero con distribución predominante en las costas del Pacífico. Con frecuencia plantas con mejores características que tuxpeño para agroecosistemas industrializados, menores exigencias de humedad que Tuxpeño. Frecuentemente se presentan poblaciones con alto número de hileras (especialmente las variantes sapo""). La mazorca es de menor tamaño (longitud) pero de mayor diámetro comparada con la de Tuxpeño. Muy blando a semiduro", se puede adaptar para harinas," masa muy blanca """"uy similar a Tuxpeño pero con distribución predominante en las costas del Pacífico. Con frecuencia plantas con mejores características que tuxpeño para agroecosistemas ind"""
Ocho Hileras ,Zamorano Amarillo,"Raza bastante productiva en grano y como tiene plantas altas produce buen forraje. En los Altos de Jalisco y Michoacán es usado para alimento de ganado, se considera de excelente calidad que supera a los híbridos para forraje de esta región. Las evaluaciones de fisicoquímicas y bromatológicas de las accesiones NAY193, NAY266 (altitud 1000 msnm), arrojan que el grano es grande (PMG 406.0 a 367.5 g) y suave y regular apropiado para elaborar botanas. ",,
Tropicales precoces,Zapalote Chico,"Base del sustento de la población del Istmo fundamentalmente Zapoteca, resistente a plagas de granos almacenados, rapidez de crecimiento, ciclo corto entre la floración y maduración, excelente cobertura de la mazorca por las brácteas. Se puede sembrar en muchos lugares, índice de cuateo, se ha usado en mejoramiento genético internacional como fuente de estas características. El problema es que ha habido interés pero sin resultados sobre su valor. Valor para totopos y tortillas, tlayudas. Material muy suave. Por su planta pequeña se puede sembrar en alta densidad, hasta 3 cosechas por año. Mayor cantidad de proteína entre maíces nativos (12.7% en promedio). Germen grande (mayor cantidad de aceite). Totomoxtle muy duro no apto para forraje. Resistente al acame.",,
Dentados tropicales ,Zapalote Grande,"Zapalote Grande se cultiva en áreas de condición cálida semi-húmeda, en altitudes de 0 a 1,200 m, en el istmo de Tehuantepec y áreas similares en el estado de Chiapas. Se caracteriza por su longitud de ciclo de vida intermedio a precoz, buen tipo de planta (no muy alta), mazorcas cortas, ligeramente cilíndricas, de grano dentado en los que predomina el color blanco, pero también se presenta el amarillo y azul. ",,
